caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
1,52.7,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
2,51.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
3,63.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
4,80,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
5,28,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,Yes,No child
6,63,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
7,58.8,4,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Poor,No,No child
8,80,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
9,63.8,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
10,25.2,5,"Owned by you or a member of this household, even if it i...",Single detached house,6,Poor,Poor,No,No child
11,15.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Two children
12,40.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
13,56.8,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
14,26.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,Yes,Two children
15,66.8,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Fair,Yes,No child
16,30.6,9,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Excellent,Excellent,No,No child
17,68.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Good,No,No child
18,33.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Good,Good,No,No child
19,73.2,10,"Rented, even if no cash rent is paid",Other,2,Fair,Good,No,No child
20,39.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,Yes,Three or more children
21,64.8,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Excellent,No,No child
22,25.5,8,"Rented, even if no cash rent is paid",Single detached house,1,Excellent,Excellent,No,No child
23,49.4,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
24,16.3,7,"Rented, even if no cash rent is paid",Single detached house,4,Good,Very good,No,No child
25,63.5,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
26,78.4,9,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Good,No,No child
27,30.8,7,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Very good,No,No child
28,19.1,2,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
29,40.8,7,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,One child
30,43.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
31,40.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Very good,Yes,Two children
32,80,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
33,16.8,8,"Rented, even if no cash rent is paid",Other,3,Excellent,Excellent,No,No child
34,80,10,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
35,71.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
36,71.6,10,"Rented, even if no cash rent is paid",Single detached house,2,Fair,Good,No,No child
