"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"1",8,1,1,0,1,0
"2",10,2,1,0,1,1
"3",8,2,1,0,1,1
"4",10,2,1,0,1,0
"5",8,2,0,1,1,0
"6",9,2,1,0,1,1
"7",4,1,0,0,1,0
"8",10,1,0,0,1,0
"9",8,1,1,0,1,0
"10",5,6,1,0,1,1
"11",10,5,1,0,0,1
"12",6,1,1,0,1,1
"13",6,2,1,0,1,1
"14",10,4,1,1,0,1
"15",6,2,1,1,1,1
"16",9,2,1,0,1,0
"17",9,3,1,0,1,1
"18",8,2,0,0,1,0
"19",10,2,0,0,1,0
"20",9,5,1,1,0,1
"21",10,2,1,0,1,0
"22",8,1,0,0,1,1
"23",8,1,1,0,1,0
"24",7,4,0,0,1,1
"25",8,1,0,0,1,0
"26",9,1,1,0,1,0
"27",7,1,1,0,1,0
"28",2,3,1,0,1,1
"29",7,2,1,0,0,0
"30",9,2,1,1,1,1
"31",8,4,1,1,0,1
"32",7,1,0,0,1,0
"33",8,3,0,0,1,0
"34",10,1,1,0,1,0
"35",8,1,1,0,1,1
"36",10,2,0,0,1,1
"37",7,3,1,0,1,0
"38",8,1,1,0,1,0
"39",5,4,1,0,0,0
"40",10,3,1,1,1,1
"41",10,2,1,0,1,1
"42",9,3,1,1,0,1
"43",8,2,0,0,0,0
"44",10,5,1,0,0,1
"45",8,2,1,1,1,1
"46",10,2,1,0,1,1
"47",7,3,1,0,0,1
"48",8,4,1,1,0,0
"49",8,1,0,0,1,0
"50",9,1,0,0,1,0
"51",8,4,1,1,0,0
"52",8,2,1,1,1,0
"53",5,1,0,0,1,0
"54",9,3,1,0,1,1
"55",9,3,1,0,0,1
"56",7,3,1,0,0,1
"57",7,2,1,1,1,1
"58",10,2,1,0,1,1
"59",8,2,1,1,1,0
"60",6,1,1,0,1,1
"61",10,2,1,1,1,1
"62",8,1,0,0,1,0
"63",6,1,1,0,1,1
"64",9,5,1,0,0,1
"65",7,2,0,0,1,0
"66",9,1,1,0,1,0
"67",9,2,1,1,1,1
"68",5,2,1,0,1,1
"69",10,4,1,0,0,1
"70",6,1,1,0,1,1
"71",9,2,1,0,1,1
"72",8,3,1,1,0,1
"73",6,1,0,0,1,0
"74",10,4,1,0,0,1
"75",10,5,1,0,1,1
"76",10,4,1,0,0,1
"77",8,2,0,0,1,0
"78",9,3,1,1,0,1
"79",6,3,1,0,1,1
"80",9,4,1,0,0,1
"81",8,4,1,0,0,1
"82",7,1,1,0,1,0
"83",8,3,1,1,1,1
"84",8,1,0,0,1,0
"85",8,5,1,0,1,0
"86",8,1,1,0,1,0
"87",8,4,1,0,1,1
"88",7,1,0,0,1,0
"89",7,4,1,0,0,1
"90",4,1,1,0,1,0
"91",7,3,1,0,1,1
"92",7,1,1,0,1,0
"93",6,2,1,0,1,1
"94",8,2,1,0,1,0
"95",5,1,1,0,1,0
"96",10,1,1,0,1,1
"97",0,2,1,0,1,1
"98",7,1,0,0,1,0
"99",9,2,1,0,1,1
"100",10,4,1,0,0,1
"101",8,2,0,1,1,0
"102",8,2,1,0,1,1
"103",9,1,0,0,1,0
"104",6,3,0,0,0,1
"105",4,4,1,0,1,1
"106",10,1,0,0,1,1
"107",8,3,0,0,0,1
"108",10,1,0,0,1,0
"109",8,2,1,0,1,1
"110",7,4,1,0,0,1
"111",9,1,1,0,1,1
"112",7,2,0,0,1,1
"113",10,2,1,0,1,1
"114",8,2,1,0,1,0
"115",8,6,1,1,0,1
"116",9,4,0,0,0,0
"117",9,1,0,0,1,0
"118",8,3,1,0,1,1
"119",10,3,1,0,0,1
"120",10,3,1,0,0,1
"121",6,1,0,0,1,0
"122",10,2,1,1,1,1
"123",9,3,0,0,1,1
"124",8,1,0,0,1,0
"125",10,6,0,0,0,0
"126",2,2,0,0,1,0
"127",9,4,1,0,0,0
"128",10,2,1,0,1,1
"129",9,2,1,0,1,1
"130",9,4,1,0,0,0
"131",8,2,1,0,1,0
"132",8,1,0,0,1,0
"133",10,1,1,0,1,1
"134",8,2,0,1,1,0
"135",0,1,0,0,1,0
"136",8,4,1,1,0,1
"137",9,3,1,0,0,1
"138",10,2,1,0,1,0
"139",6,2,1,0,1,1
"140",8,1,1,0,1,0
"141",8,1,1,0,1,1
"142",7,5,1,0,1,1
"143",8,3,1,0,0,1
"144",8,1,1,0,1,1
"145",6,2,1,1,1,1
"146",7,3,0,0,1,1
"147",8,6,1,0,0,1
"148",7,3,1,0,0,1
"149",8,2,1,1,1,0
"150",10,2,0,0,1,0
"151",9,1,1,0,1,1
"152",6,3,1,0,1,1
"153",4,1,0,0,1,0
"154",10,6,0,1,0,1
"155",10,1,0,0,1,0
"156",9,2,1,0,1,1
"157",6,1,0,0,1,0
"158",5,3,0,0,1,0
"159",9,1,1,0,1,1
"160",8,1,0,0,1,0
"161",10,2,1,0,1,1
"162",10,2,1,1,1,0
"163",10,2,1,0,1,1
"164",9,2,1,0,1,1
"165",7,3,1,0,0,1
"166",8,1,1,0,1,1
"167",9,4,1,0,0,1
"168",10,2,1,0,1,1
"169",1,1,0,0,1,1
"170",10,1,0,0,1,0
"171",7,1,0,0,1,0
"172",10,1,1,0,1,1
"173",9,1,1,0,1,1
